id,nombreCompania,telefono,correo,rn,direccion1,direccion2,direccion3,direccionEnvio1,direccionEnvio2,direccionEnvio3,infoAdicional,folderId
84,Ministerio de minería y metalurgia,,,,,,,,,,,1f81dNdQGvnmwISDgzpBpefy3nZDEZwGg
85,Consorcio Bolivia,,,,,,,,,,,1FA9P4VyqUH3FSQPI6tecFzFQTpf--iWH
86,Lorenzo Gordon,,,,,,,,,,,1Fea2nACplewXcYRZZ8IMamz0EoP6PzTZ
87,señor patasca,,,,,,,,,,,1FEklVBQubj5gkmgdXJaG3WbFEbJ3iwqI
88,IINSAD Facultad de Medicina UMSA,,,,,,,,,,,1FG0uANNpcmOxOItcJjRvmweH3bn5woRL
89,Santos Cancio Huayta,,,,,,,,,,,1Fo4hCywewQAoLAX-IgP_oFufu-mMUW3X
90,Cliente YUNGAS,,,,,,,,,,,1fSDMwtcCjyurgWkLTiwfcr9qLEEIo1lK
91,Entidad descentralizada municipal de cementerios de La Paz,,,,,,,,,,,1fZcrRAk9gpa1ZivF_GWU0ffgMosNP0uB
92,Autoridad de Fiscalización y Control de Cooperativas,,,,,,,,,,,1g_8Jt8FGofH4V2qFCYpw1b7Zcj3mcUQj
93,Cortez,,,,,,,,,,,1G6Q1gpez8dQS2D7pMSeeMs0ZLwUjs9SQ
94,Jessy,,,,,,,,,,,1GceZKNotGK92d-S-VHm-LWjsp8kRZHK6
95,FRANZ,,,,,,,,,,,1GCP0zVjZidpXxkZTwkoebLwS6qvXN2eT
96,Javier Cobija,,,,,,,,,,,1gkllVgV530zgrL5WGYxrobzkPxEnXHDl
97,Agrotec SRL,,,,,,,,,,,1Gl5U1b9J6zS17TIdX0fxgtWl-TofuMmo
98,INIAF,,,,,,,,,,,1GmJvY0ZA1eZW70OBnYhOXO6hzKPnsZlG
99,Museo Nacional de Arte,,,,,,,,,,,1GsCWshf0mr1A2ocQnhGa_idOcaWTk8Uq
100,Ing Javier Mariaca,,,,,,,,,,,1H9I5qsLg04L2zumtmsBm_nEb1w-o3az-
101,UNIVERSIDAD MAYOR DE SAN ANDRES - CARRERA DE COMUNICACIÓN SOCIAL,,,,,,,,,,,1hf281bJ3wVneCJb-JbfBLjDbxOPHKr7-
102,EPSAS,,,,,,,,,,,1HH6xMLdoiRT96_hq8WMFbKiFZy76UrFk
103,UNIVERSIDAD MAYOR DE SAN ANDRES,,,,,,,,,,,CLIENTES_1786455085650_29466
104,victor ,,,,,,,,,,,1i4ePJNR28wZXX9ITxN3dyw_BvNe1C0PI
105,ABC,,,,,,,,,,,1i5lwsdMfD5OscU86JrPG6iNRcT0YgHMk
106,Cliente paneles,,,,,,,,,,,1iCFdQHGqfKSsmGyqsecSXy2dCe2cDDkO
107,Juan,33333,,,,,,,,,,1ih2AhugauqWS3heqzo2Qi5p9ZZP_z0iQ
108,Yasmani Fernández Alvarado,,,,,,,,,,,1inxDBmHVij2fewF0l3QjifAJhSOYgZuj
109,RICHARD CRUZ,,,,,,,,,,,1ITJtbOyQXWAbvtUMKygLcO6HiG2SO4yn
110,Censo,,,,,,,,,,,1IV83NOgduuiRjq3nO2zTm3qXo1RPc51F
111,Thomas,,,,,,,,,,,1IVoAq6PZ3GLfAnkWBeDPGBJMfRuYiDBA
112,HOTEL PARIS,,,,,,,,,,,1IwoknMC5N2yjUcIJXsV4DqN6XamAedQw
113,Ministerio de Medio Ambiente y Agua,,,,,,,,,,,1IyY7f2_l8B9IV4fMgt2Nr39hImr2lmBC
114,1,,,,,,,,,,,1iZlUlY_m6fsJqdxM8y9vjgrE3Uqo4Wnb
115,Huancane,,,,,,,,,,,1jAAbMZvLU-yuzLLnPDpcINxyd8WSk2wT
116,GOBIERNO AUTÓNOMO MUNICIPAL DE EL ALTO,,,,,,,,,,,1jAVupYlTuxULoJ1stjXSUAbanH8dqeRb
117,MINISTERIO DE EDUCACION- I.F.A. ESCUELA DE DANZA DEL BALLET OFICIAL,,,,,,,,,,,1jEz6tUupGGxglYOWsnWr0kIXFkacHkhE
118,Lopez,69732537,,,,,,,,,,1JFnxOfOfMdHQ0K3CIEhooXWFydZPWTRO
119,Cámara de diputados,,,,,,,,,,,1JhcOG-HBRia-0PcB9c0nycQx9zEoWxO_
120,Afcoop,,,,,,,,,,,1JHJwhDPskc3NBelQilF3SuxCOUeb-AjU
121,CARITAS BOLIVIA,,,,,,,,,,,1jhS2p5DCeN3QQUVRGjKJ73k2jrlwc0BD
122,Instituto Nacional de Oftalmología,,,,,,,,,,,1JOXNDAcsD_88Wdwo42rQfHRTy34Ayo7v
123,Unidad de Coordinación de Programas y Proyectos UCPP,,,,,,,,,,,1jPbEw7bHtPuf7DewLalEyQMf-AZOwFN9
124,ADMINISTRADORA BOLIVIANA DE CARRETERAS,,,,,,,,,,,1jqvDjRRyyacAP5DCrGpyr5Y0JRkHJj0z
125,ENDE,,,,,,,,,,,1Jr4GHM5QvUEQWA5mgOzth5cRhye48O0a
126,Gobierno Autónomo Municipal de La Paz,,,,,,,,,,,1jt5uKhd354k65cVMjlrqIVSzyVKlVH00
127,SEGUROS Y REASEGUROS PERSONALES UNIVIDA S.A.,,,,,,,,,,,1k_iO3AgKDnd92MpZK1sh1kzt5RDYoQh0
128,Instituto Nacional de Torax,,,,,,,,,,,1k3rRpy-nQo0eWzaeUzMt29GfQVrL14gv
129,GAM LURIBAY,,,,,,,,,,,1k8TH9r0Zw8-WoxHW2lgWTEZ7gnsDXZt1
130,GAMLP,,,,,,,,,,,1L--DrVrE7GcakDMqhzbsflXcjc4BjH74
131,Cotización,,,,,,,,,,,1l6QLyjMo-gRbTnkj3k1z2HbZJs_U-Mct
132,Andrea Mamani,,,,,,,,,,,1laZ0Rfydr9fxCN9VqCpLoaUr_PwYAKhr
133,Gabriel Arancibia,,,,,,,,,,,1lDQgLXrRYFekU_dX2bxP9AJvi1WWuq1O
134,Programa Bono Juana Azurduy,,,,,,,,,,,1lEpWJTow5lk4VwgDnxPLHvo4KMYzobnB
135,lami ñññ,,,,,,,,,,,1lrut2zcKOoKYkKnMqghC3l3tpB5sCTQi
136,Gestora Pública de la Seguridad Social de Largo Plazo,,,,,,,,,,,1luwvDRDa-AxyOAk5npNAvZHY-L-RyDFi
137,Facultad de Medicina UMSA,,,,,,,,,,,1lvWWChuFJJwGwMx2XapUP6sgGiDcVc0o
138,Escuela Boliviana Intercultural de Danza,,,,,,,,,,,1LyXnSghwJs3JyFLb7_A78qA9X0SuPpdY
139,INE,,,,,,,,,,,1mWBCRcIWblX0YOZ-xcoOl8-sV9JJSTsg
140,ENTIDAD DESCENTRALIZADA MUNICIPAL DE BUSES LA PAZ - EDMTB,,,,,,,,,,,1MYBnpgDn9gp4Z1wMasgJIGJIuKaBCemz
141,Cliente cotización,,,,,,,,,,,1N0vVCjF1hVRBaq3ESFl1rIZgBNm5VlOa
142,Conservatorio Plurinacional de Música,,,,,,,,,,,1n6DawNi6zU5ws0cZfyoZy8oOSY2Nupwf
143,SENAPE,,,,,,,,,,,1NpkGcrk5t6tZDXiTcA0Ts3wxXTJ85BW7
144,Subalcaldia Hampaturi,,,,,,,,,,,1nS-UO-8qUVZKOUR22yAmtK3lrYa1XqxD
145,Cesar,,,,,,,,,,,1NTNnukXKrjrSY-eYbjyiO9XkQNlpxpiV
146,Camara de Senadores,,,,,,,,,,,1oF0aV7ev6sBSPlUi8r7r2b05JO34NUKX
147,MARIO MENDEZ,,,,,,,,,,,1Og8m2qeNPsBoI2K7RmiA7iBGdiPj91hn
148,N,,,,,,,,,,,1oH86UTQw7mgIVi82rUXeNamd84fFQarl
149,SENARECOM,,,,,,,,,,,1oPQDSRHNJFbuZx7qbPG0SCar210531rp
150,Ministerio de Obras Públicas Servicio y Vivienda,,,,,,,,,,,1Oxio29B2Nm-hUgtJJqtgM0tk3x5GPGNJ
151,Unidad de Proyectos Especiales - Ministerio de la Presidencia,,,,,,,,,,,1OXw07Z_0MYH9f7LlqIGzkJNyiHxmIuzo
152,Entidad Descentralizada Municipal de Maquinaria y Equipo,,,,,,,,,,,1P_1JGcQ-k_PkNbgizwyDQ8ElC-CyS-FF
153,Gobierno Autonomo Municipal de La Paz,,,,,,,,,,,1PcsvrpyOJj6q0j3GnfUvGJfAYk4MlhSo
154,Valdemar,,,,,,,,,,,1Pf_6fIRTQs2jyve4HLaycRQrl99rVqGA
155,Paulo Carrasco,,,,,,,,,,,1pfthQCajKaugSPl4cPJz_4LqsLt-F3Br
156,Mi teleférico,,,,,,,,,,,1pJ7HaO-aWGqO7IvWx9ARPn3rAOv07u3H
157,Museo Nacional de Historia Natural,,,,,,,,,,,1pKqtEzJZpHhD26TIi_eoLyQLgaNy46wQ
158,Manual de Servicios al Policía,,,,,,,,,,,1PNShVcOajW7m3Dye60RGr4xbEld2topQ
159,Autoridad de Supervisión del Sistema Financiero,,,,,,,,,,,1ppaxkUia5Dq_ZwkAJkbsF_P0YoalJjkD
160,Cliente Beni,,,,,,,,,,,1PQ6VN6MhvWPLvrlUp8cdaYg9dz7TGkWb
161,Organo departamental de Justicia,,,,,,,,,,,1pSfxmF9HXt0FzZm4Ssq-IMms0HPov2Hf
162,prueba qlmi,,,,,,,,,,,1PT5lxeFz0k4nahZuL5BaEz--YDe2kHZ8
163,Titirico,,,,,,,,,,,1pW86BPyhysaL58qa-YdQYzVDvDtFMysx
164,IBMETRO,,,,,,,,,,,1PXId_ByfPWxQP1ENaO5UVxGi3ApwYN1z
165,UMSA,,,,,,,,,,,CLIENTES_1786983275298_295095
166,Luis,,,,,,,,,,,1qEMbI1tfDkjl6lvNAHcudpIwZd97nxUL
167,UPB,,,,,,,,,,,1QHKSPxSa0btIIhSGPX46kXmYZ3MBtqF9
168,Cotización cables,,,,,,,,,,,1QNE_Qx6tWMZG-lZ7Ga-GYZ2n_YPsgGt3
169,ASCINALSS,,,,,,,,,,,1QqB5JRl64hETtURPZ2sMNsbY5XhemITD
170,CAJA DE SALUD,,,,,,,,,,,1r5vRsGJyE0VlHnkbewYdVRW1PzU8cgq_
171,TAM EP,,,,,,,,,,,1R70RH73jOskSn9nY2pyofaFNd9SBCIqF
172,LEI,,,,,,,,,,,1r7142CUFJLDVp5tEsh9XNm2U0Jt5rY9v
173,Ministerio de Gobierno,,,,,,,,,,,1Rgm-rNNCfIJyj2CcMkFHEk_qRFpf00Gm
174,Unidad de conciliación ciudadana y familiar,,,,,,,,,,,1rL1cqR1de--RbpQWgDXIxOW67GPFYct1
175,Universidad Mayor de San Andrés,,,,,,,,,,,1Rr-fyM00QT9oS3NBLCEHcxJWLycm3Gpj
176,Agencia Estatal de Vivienda,,,,,,,,,,,1RuedKKhc-AQZuealG8ih9GPD9QPD933s
177,Coripata,,,,,,,,,,,1rwpxFBm1UypewwG4BnWC_x3TKUEwswKS
178,Atiña to fly,,,,,,,,,,,1sA3RkE00eg_zSUwWzZFdPPfJDKoakvFk
179,Miguel,22222222,sjsjjsjs,,,,,,,,,1sCiHaI6G0h47KAxiONnTdD3Hu8NWEPZz
180,Marco Antonio Mamani,,,,,,,,,,,1SgcMvCSUa48Y78qb81O8l1plwop5rLD3
181,POLICÍA BOLIVIANA,,,,,,,,,,,1sJoHrlKxkCOe-jw63CKGfO-UhWj_iq5e
182,Ana María Choque,,,,,,,,,,,1SrlIEHSk_NmlIJrMSKUhQHaYK6sMH2wY
183,Servicio Nacional de Patrocinio del Estado,,,,,,,,,,,1Sve2PjW4Yt6yK4egF9lS0TwTlQze8nK2
184,ARQUITECTA BALDERRAMA,,,,,,,,,,,1SXjZrudC0S_vWJeAXJmdO85QpAiWLWdb
185,CASTAÑARES,,,,,,,,,,,1SyoN1WPhEMJv8OVsdOlYBmW1KdouPwVX
186,Carrera de Psicología UMSA,,,,,,,,,,,1SYRR0i8MQqrHlsUQ0iVvnoiFKXY0Rfcj
187,Carrera de Mecánica Automotriz,,,,,,,,,,,1SZ8taU1b9LCha21wj7014X_swKBjJNB3
188,Ministerio de Justicia,,,,,,,,,,,1t9VwpubUAAtOy3B4tGPexCrMRBEPLREL
189,Programa Juana Azurduy,,,,,,,,,,,1tbr9zBZE5nLQaGZDYL41NuR4Krt_vueG
190,Emaverde,,,,,,,,,,,1TCEpuZyjnfef7fOw6CbZVmlKHOFejUkP
191,SECRETARIA MUNICIPAL DE CULTURAS,,,,,,,,,,,1TDuDAPvrVEMjudGLYq9vH5II_7DjglsP
192,señor pats,,,,,,,,,,,1TqxRbOwFoKb4ygaJENv711yudJrPyZZH
193,Hospital Municipal de Los Andes,,,,,,,,,,,1tUjV8vwycYzlevE-PosyGYupwiJmpeHZ
194,Ejercito de Bolivia,,,,,,,,,,,1tvXmcLGgR_mkxzgMuNVf4wv_6hobD04z
195,Gerencia GRADO La Paz del SIN,,,,,,,,,,,1Tyg-UD8oUUeBeLHZN3YDc7ztTy5rk1NE
196,IEE LTDA,,,,,,,,,,,1UBhLTrIVLv4249_YMwDmKRgf5otT7b7_
197,Gobierno Autónomo Municipal de Reyes,,,,,,,,,,,1UdmQz1bza9pbHTcg4XlWxj_GEkcr2VpO
198,"MINISTERIO DE CULTURAS, DESCOLONIZACION Y DESPATRIARCALIZACION",,,,,,,,,,,1uOPwI8y7e3a8IC2PYMda0hbuD81F3qqp
199,SENAMHI,,,,,,,,,,,1URAGyxorJqBvyEdtkgC2VnNYLdCKHnQn
200,Cliente #345,,,,,,,,,,,1vBgV6z0DSFz4ny3Lrxr3T0lDMPtXh0Bx
201,Alfa S.A,,,,,,,,,,,1ViTr4XJFX93UbEkyWxsNxa2TAxMfoR4B
202,Diego,,,,,,,,,,,1vK-o6JdUOINSu2qPSITSmRA0ovqYmf7h
203,Jesús,,,,,,,,,,,1vZ3Mh7IAIHMXECAkcpe193NZHcm725t6
204,ATT,,,,,,,,,,,1wAjr6e8-wwrwpK1TE9uEuER2PkvauLoF
205,Darío Durán,,,,,,,,,,,1WebRFR4BCetHFM9d9W04CmpO3QR-qo7b
206,HANSA LTDA,,,,,,,,,,,1wHV4lgSfBb3hl8fMUweXBcvlX9lP2Mc0
207,CRISTO VIENE,,,,,,,,,,,1wItTF9L_ZFXVH637w8neEHrscskFbZJL
208,SERVICIOS DE IMPUESTOS NACIONALES,,,,,,,,,,,1Wk_60NnV30K6JUE8pTs-_gPwitZcQFh2
209,GAM CURAHUARA DE CARANGAS,,,,,,,,,,,1WQGMm9DMW1uaA5ok-6LTc7BMfxrpUtmL
210,GAMLP INTENDENCIA MUNICIPAL,,,,,,,,,,,1wTAKQICjIouAsq2P9pJiu_g8SMkr7iIP
211,DIPREVCON,,,,,,,,,,,1wvf9HzzTgt_ZuSZg2JlptwBgtj1nLGhL
212,Museo Nacional de Etnografía y Folklore,,,,,,,,,,,1x_txBvaq2UZBwKarxU_Dtp5_gnPu3UdI
213,Ministerio de Justicia y Transparencia Institucional,,,,,,,,,,,1x1lecQZEgTjTkXpWQRMtL7ntWdPFhbax
214,Procuraduría general del estado,,,,,,,,,,,1xa95Wlpz0-l-4Hdx9rxGtA3ot24D-Uny
215,Cliente Guirnaldas,,,,,,,,,,,1XaCeg9EpSvu09BEPrh0NUFkfwcsJZg0s
216,Laboratorios IFA,,,,,,,,,,,1XCh24w2tyWf99U6OLU6QXv5aBJoBCIMt
217,Arminda,,,,,,,,,,,1XCPOtEY__CGPm_5ClQ_Jt68bAKnx6TxW
218,Cámara de Senadores,,,,,,,,,,,1xDm5gB247AaM3ko-XqXO52WS3Q8u5v6z
219,ELECTRORED BOLIVIA SRL,,,,,,,,,,,1xe2v7GuraCPBC3a4v0g8XBhhpDpMt1xr
220,Ministerio de Desarrollo Productivo y Economia Plural (Quipus),,,,,,,,,,,1xGctqWwiL4_QPSvoRtxRATYVnFhUgYAR
221,Ximena Garnica,,,,,,,,,,,1XjsA_82WZXsGMS17HhtIzfpmWj5tPRPm
222,Contraloría General del Estado,,,,,,,,,,,1xOsjaYaruH4z9yUHpzZXNPD-khc43nFY
223,Camara de Diputados,,,,,,,,,,,1xRMlBc6jO2_oQfO5_V26Wbi5MiFib7Or
224,Gestora Pública de la Seguridad de Largo Plazo,,,,,,,,,,,1xS5i9a3WkWgnCuKz31MDmWs6qIC_5cty
225,Patricia,,,,,,,,,,,1Xtp2pDuF4yFtg2s02gcPXzdwVL4Cut7h
226,Ministerio de Planificación del Desarrollo y Medio Ambiente,,,,,,,,,,,1XYZHwn-LuQMztTi3eG5yBXdNH4BWmcER
227,Ministerio de,,,,,,,,,,,1Y-bhAn1WMHXzkYG6NQhB7DULaFTo7ytU
228,OPEN HOUSE,,,,,,,,,,,1Y9yLnWHQNTLbKMIiV9hBBCkddPzbHeen
229,Cliente Uyuni,,,,,,,,,,,1YIrHftc-ohx-gcwniWTzZLmB9ITIAi_X
230,Gobierno autónomo departamental de La Paz,,,,,,,,,,,1Yp2Um89NMT9L7DRf8-kPVhi0WVNKLMq7
231,Caja Bancaria Estatal de Salud,,,,,,,,,,,1yupe85JaHsKBt7m_fKAyxxajs_MbD-Qr
232,Condominio Torres del Poeta,,,,,,,,,,,1yVHvlZkzgzSFHe0uAYUn5KeIJfwgLeQY
233,Organo Judicial,,,,,,,,,,,1z8vkbQpOacT3DBB_zrkCgNZgdtqCgF2E
234,MUSEF,,,,,,,,,,,1zbAD-K6FZU5LC7-zO1hxVdK91ohOWkHi
235,Saavedra,,,,,,,,,,,1zIvMCVUkLCF1GBY5SXt_7sQlgEE6L8VF
236,DESMART LTDA,,,,,,,,,,,1ZKDCuMX4fTD3QOZ4gDXDU99Te6SJxCcI
237,Pendiente,,,,,,,,,,,1znEf37xG1US4K5OJhnVUNoyxThiZR5sR
238,Instituto Boliviano de Metrología,,,,,,,,,,,1ZvaMCiKbs6Xgcdsxdje9_5Wib-qWKP8h
239,Monica Monroy,,,,,,,,,,,1Zwz9rXTByeN5QuBTyN8gQA4ZrKrcotdP
240,Empresa Test 486,123456,test@test.com,123,Dir 1,,,,,,,CLIENT_TEST_1045
241,Empresa Test 962,123456,test@test.com,123,Dir 1,,,,,,,CLIENT_TEST_2288
242,prueba notas adicionales,,,,,,,,,,,CLIENTES_1781558377637_752128
243,hfwwrhr,,,,,,,,,,,CLIENTES_1781559697597_408370
244,pruebaalmir,,,,,,,,,,,CLIENTES_1781560536668_320247
245,Victor,,,,,,,,,,,CLIENTES_1781616287977_565762
